LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_Resistance_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,SPT_BlowCount_N,Moisture_Content,Mv_400kPa,Cv_400kPa,CPT_MPa,Grain_2.00mm,Grain_4.75mm,Grain_4.25um,Grain_2um,Fines_Content,Sand_Fraction,Gravel_Fraction,Clay_Fraction,Silt_Fraction,Liquidity_Index,Consistency_Index,Plasticity_Ratio,LL_over_PL
84.1,32.7,51.4,19.9,11.0,59.6,0.61,,,1.05,,,302.14,,69.6,73.6,geotechnical_data_4.xlsx,,85.4,0.74,1.38,,99.8,,,,73.6,26.200000000000003,0.20000000000000284,,,1.0252918287937745,-0.02529182879377454,0.6111771700356718,2.571865443425076
85.0,32.3,52.7,19.8,12.0,62.8,0.69,,,1.22,,,,,70.1,80.4,geotechnical_data_4.xlsx,,85.6,0.95,2.1,,100.0,,,,80.4,19.599999999999994,0.0,,,1.0113851992409866,-0.01138519924098661,0.62,2.6315789473684212
34.4,22.0,12.4,14.4,6.0,38.4,0.74,,,1.2,,,,,67.1,36.1,geotechnical_data_4.xlsx,,41.2,0.62,1.36,,99.7,,,,36.1,63.6,0.29999999999999716,,,1.5483870967741937,-0.5483870967741938,0.3604651162790698,1.5636363636363635
39.5,20.6,18.9,19.5,8.0,46.4,0.71,,,0.91,,,75.53,,66.1,32.1,geotechnical_data_4.xlsx,,43.5,0.39,1.05,,99.6,,,,32.1,67.5,0.4000000000000057,,,1.2116402116402116,-0.21164021164021166,0.4784810126582278,1.9174757281553396
39.8,20.8,19.0,19.5,8.0,47.2,0.64,,,0.95,,,103.86,,64.7,32.6,geotechnical_data_4.xlsx,,42.3,0.68,0.98,,99.4,,,,32.6,66.80000000000001,0.5999999999999943,,,1.1315789473684208,-0.13157894736842105,0.47738693467336685,1.9134615384615383
43.5,23.4,20.1,19.8,10.0,54.8,0.58,,,0.81,,,151.07,,67.2,34.6,geotechnical_data_4.xlsx,,44.5,0.57,0.89,,99.8,,,,34.6,65.19999999999999,0.20000000000000284,,,1.0497512437810945,-0.04975124378109452,0.4620689655172414,1.858974358974359
33.2,11.7,21.5,19.9,12.0,40.0,0.41,,,0.87,,,217.16,,65.8,33.6,geotechnical_data_4.xlsx,,50.0,0.48,0.95,,99.5,,,,33.6,65.9,0.5,,,1.7813953488372092,-0.7813953488372092,0.6475903614457831,2.837606837606838
44.0,21.2,22.8,19.8,7.0,52.4,0.37,,,0.51,,,,,65.8,31.3,geotechnical_data_4.xlsx,,51.8,0.41,0.8,,85.0,,,,31.3,53.7,15.0,,,1.3421052631578947,-0.3421052631578946,0.5181818181818182,2.0754716981132075
87.5,35.7,51.8,19.5,11.0,58.0,0.64,,,1.05,,,321.02,,,87.8,geotechnical_data_4.xlsx,,89.6,0.74,1.45,,98.4,,,,87.8,10.600000000000009,1.5999999999999943,,,1.0405405405405403,-0.04054054054054043,0.592,2.4509803921568625
85.0,28.2,56.8,19.7,12.0,63.0,0.7,,,1.23,,,,,92.8,83.2,geotechnical_data_4.xlsx,,88.4,0.96,2.15,,98.2,,,,83.2,15.0,1.7999999999999972,,,1.0598591549295775,-0.059859154929577565,0.668235294117647,3.014184397163121
43.2,24.8,18.4,18.5,6.0,39.0,0.72,,,1.22,,,,,73.0,38.4,geotechnical_data_4.xlsx,,53.4,0.63,1.35,,100.0,,,,38.4,61.6,0.0,,,1.5543478260869565,-0.5543478260869563,0.4259259259259259,1.7419354838709677
