LL,PL,PI,Sat_Unit_Wt_kN_m3,Mv_50kPa,Cv_50kPa,Grain_CoarsePassing_pct,Fines_Content_pct,Sand_Fraction_pct,Gravel_Fraction_pct,Phi_deg,Cu_kPa
95.0,38.2,56.8,19.8,0.74,1.02,97.3,80.4,16.89999999999999,2.700000000000003,12.0,63.0
39.0,18.5,20.5,17.658,0.24,2.26,96.7,47.5,49.2,3.299999999999997,6.0,62.5
37.2,19.0,18.2,17.658,0.21,2.09,96.5,45.2,51.3,3.5,8.0,63.4
36.7,20.5,16.2,17.658,0.2,1.78,96.0,41.2,54.8,4.0,10.0,64.2
30.0,19.6,10.4,18.148500000000002,0.19,1.65,98.5,36.1,62.4,1.5,15.0,65.0
26.2,19.2,7.0,18.639,0.13,1.45,98.0,25.8,72.2,2.0,17.0,68.6
49.6,28.6,21.0,17.658,0.3,2.41,99.2,48.7,50.5,0.7999999999999972,5.0,52.6
51.0,25.9,25.1,17.658,0.28,2.3,98.7,44.7,54.0,1.2999999999999972,6.0,61.4
47.4,24.8,22.6,17.7561,0.21,1.93,97.8,42.4,55.4,2.200000000000003,10.0,63.6
36.0,19.9,16.1,18.050400000000003,0.2,1.72,96.3,36.7,59.599999999999994,3.700000000000003,15.0,64.6
38.7,24.5,14.2,18.639,0.17,1.36,96.1,35.0,61.099999999999994,3.9000000000000057,15.0,66.4
46.0,24.6,21.4,17.658,0.31,1.24,97.7,53.1,44.6,2.299999999999997,12.0,65.8
43.2,23.1,20.1,17.854200000000002,0.42,1.06,97.3,50.4,46.9,2.700000000000003,12.0,70.4
51.0,26.0,25.0,17.7561,0.29,2.31,98.0,48.0,50.0,2.0,8.0,63.4
38.9,20.3,18.6,18.050400000000003,0.21,1.96,97.6,39.4,58.199999999999996,2.4000000000000057,10.0,64.8
26.1,19.1,7.0,18.344700000000003,0.19,1.72,97.8,31.4,66.4,2.200000000000003,15.0,63.4
27.3,18.9,8.4,18.8352,0.17,1.39,96.0,25.0,71.0,4.0,18.0,67.2
42.5,23.0,19.5,17.658,0.24,2.18,98.7,45.2,53.5,1.2999999999999972,8.0,62.0
40.1,21.7,18.4,17.854200000000002,0.2,1.87,98.5,41.4,57.1,1.5,10.0,64.6
38.1,24.4,13.7,18.148500000000002,0.18,1.54,99.0,39.4,59.6,1.0,15.0,67.0
35.4,23.6,11.8,18.344700000000003,0.15,1.21,98.5,36.4,62.1,1.5,17.0,68.4
40.1,20.0,20.1,18.8352,0.2,1.16,98.4,53.4,45.00000000000001,1.5999999999999943,10.0,61.4
41.8,19.0,22.8,18.639,0.17,0.93,98.2,49.5,48.7,1.7999999999999972,12.0,69.5
43.6,27.2,16.4,17.7561,0.27,2.28,98.4,53.2,45.2,1.5999999999999943,8.0,63.5
38.4,23.0,15.4,17.854200000000002,0.24,2.19,98.0,47.6,50.4,2.0,12.0,66.4
30.4,21.0,9.4,18.8352,0.21,1.84,97.8,39.4,58.4,2.200000000000003,14.0,67.0
35.4,28.0,7.4,18.639,0.17,1.52,97.6,37.8,59.8,2.4000000000000057,15.0,68.2
39.6,23.6,16.0,17.854200000000002,0.18,1.23,97.1,66.4,30.69999999999999,2.9000000000000057,10.0,70.0
41.1,21.1,20.0,18.050400000000003,0.16,0.97,96.5,60.1,36.4,3.5,12.0,71.7
47.6,26.6,21.0,17.559900000000003,0.32,2.39,98.8,48.2,50.599999999999994,1.2000000000000028,6.0,58.8
49.1,23.0,26.1,17.658,0.28,2.14,98.5,46.2,52.3,1.5,8.0,60.5
40.1,20.3,19.8,17.854200000000002,0.22,1.88,98.3,41.2,57.099999999999994,1.7000000000000028,12.0,64.5
36.0,20.0,16.0,18.344700000000003,0.2,1.72,98.2,38.6,59.6,1.7999999999999972,15.0,65.0
28.0,11.9,16.1,18.8352,0.14,1.24,97.5,27.6,69.9,2.5,16.0,69.0
34.6,23.1,11.5,18.050400000000003,0.47,0.65,99.4,34.9,64.5,0.5999999999999943,11.0,52.6
29.1,16.8,12.3,18.344700000000003,0.39,0.57,98.7,33.7,65.0,1.2999999999999972,14.0,60.4
24.6,15.0,9.6,18.639,0.35,0.52,98.4,21.2,77.2,1.5999999999999943,15.0,40.5
22.6,13.9,8.7,18.8352,0.3,0.45,99.2,18.5,80.7,0.7999999999999972,16.0,37.2
39.2,22.6,16.6,16.4808,0.56,0.87,100.0,55.6,44.4,0.0,4.0,78.0
40.1,22.1,18.0,16.677,0.5,0.82,100.0,47.8,52.2,0.0,4.0,85.0
33.9,22.1,11.8,18.050400000000003,0.48,0.67,99.5,35.0,64.5,0.5,11.0,54.6
33.1,20.9,12.2,18.2466,0.46,0.63,99.2,34.8,64.4,0.7999999999999972,12.0,56.8
30.1,17.5,12.6,18.4428,0.4,0.58,98.7,33.4,65.30000000000001,1.2999999999999972,14.0,61.4
25.0,15.0,10.0,18.5409,0.37,0.55,98.5,24.0,74.5,1.5,15.0,40.5
23.6,14.7,8.9,18.7371,0.34,0.48,99.4,16.4,83.0,0.5999999999999943,17.0,38.4
40.1,23.3,16.8,16.2846,0.58,0.88,100.0,57.6,42.4,0.0,4.0,76.0
41.2,23.3,17.9,16.677,0.49,0.82,100.0,50.1,49.9,0.0,4.0,82.6
32.8,21.4,11.4,18.148500000000002,0.45,0.69,99.6,34.8,64.8,0.4000000000000057,10.0,54.6
32.1,20.1,12.0,18.344700000000003,0.43,0.62,99.3,33.5,65.8,0.7000000000000028,12.0,57.8
30.1,17.7,12.4,18.5409,0.39,0.59,98.8,32.4,66.4,1.2000000000000028,14.0,60.6
26.6,17.0,9.6,18.639,0.36,0.54,98.5,31.4,67.1,1.5,15.0,45.2
24.6,15.4,9.2,18.7371,0.31,0.47,98.3,29.6,68.69999999999999,1.7000000000000028,16.0,41.7
